ID,RA[hr],Dec[deg],ID_Simbad,ID_MWSC,ID_WEBDA,ID_Piskunov,ID_Kharchenko,ID_Salaris,ID_vandenBergh,ID_Cantat-Gaudin,ID_Lynga,dist[pc],err_dist[pc],N_dist[pc],age[Myr],err_age[Myr],N_age[Myr],[Fe/H],err_[Fe/H],N_[Fe/H],mass[Msun],err_mass[Msun],N_mass[Msun],rgc[pc],err_rgc[pc],N_rgc[pc],rhm[pc],err_rhm[pc],N_rhm[pc],Av[mag],err_Av[mag],N_Av[mag]
Cl_Loden_2159,15 33 40.000,-58 08 06.000,Cl_Loden_2159,Loden_2159,,,Loden_2159,,,,,6111.0,0.0,2.0,316.22776601683796,0.0,2.0,,,,84.0,0.0,2.0,,,,,,,5.664000000000001,0.0,1.0
Cl_Loden_153,10 34 41.000,-58 07 48.000,Cl_Loden_153,Loden_153,Loden_153,Loden_153,Loden_153,,,,,2842.5,86.25,4.0,4.056483342128502,1.0538332468667084,4.0,0.191,0.0,1.0,391.63759186483423,324.8903713140945,4.0,,,,5.7201752122578595,0.0,1.0,0.9418666666666665,0.0374499765118849,3.0
[KPR2004b]_235,10 03 13.000,-58 07 30.000,[KPR2004b]_235,Loden_28,Loden_28,Loden_28,Loden_28,,,,,3961.5,5.75,4.0,19.51801931516873,3.698760913076254,4.0,,,,7743.922858046234,4634.376502989005,5.0,,,,2.324974441111259,0.0,1.0,1.9445333333333332,0.032224398393947605,3.0
[KPS2012]_MWSC_2201,14 06 38.000,-58 07 12.000,[KPS2012]_MWSC_2201,FSR_1674,,,FSR_1674,,,,,3057.0,0.0,2.0,3162.2776601683795,0.0,2.0,,,,97.0,0.0,2.0,,,,4.17019225151702,0.0,1.0,0.7328000000000001,0.0,1.0
NGC_4337,12 24 05.280,-58 07 30.000,NGC_4337,NGC_4337,NGC_4337,,NGC_4337,,NGC_4337,NGC_4337,NGC_4337,1863.4599999999998,504.00054888858995,5.0,944.5096964151704,382.1431378404541,3.0,,,,55.5,19.23619634959053,4.0,7425.1,0.0,1.0,2.606975847976439,2.635072513753736,1.0,0.7664000000000001,0.21156634893101503,2.0
C_1010-577,10 12 15.360,-58 04 08.400,C_1010-577,vdBergh-Hagen_90,Bochum_8,,vdBergh-Hagen_90,,vdBergh-Hagen_90,vdBergh-Hagen_90,vdBergh-Hagen_90,2302.7200000000003,137.16033945714776,5.0,179.3302359949124,59.949091239005824,4.0,,,,45.625,12.901520017036752,4.0,8145.1,0.0,1.0,1.1633306706274607,0.23867624538545146,1.0,1.7072000000000003,0.016970562748477153,2.0
[DBS2003]_48,10 31 29.000,-58 02 00.000,[DBS2003]_48,DBSB_48,,,DBSB_48,,,,,6057.0,0.0,2.0,177.82794100389228,0.0,2.0,,,,18.0,0.0,2.0,,,,5.388036006384822,0.0,1.0,3.8656,0.0,1.0
NGC_6087,16 18 53.040,-57 54 57.600,NGC_6087,NGC_6087,NGC_6087,NGC_6087,NGC_6087,,NGC_6087,NGC_6087,NGC_6087,901.4285714285714,7.5480965105743465,7.0,65.25881576654986,14.02986445461976,5.0,-0.01,0.0,1.0,430.7012041948023,204.0898466582817,7.0,7557.9,0.0,1.0,1.7699985586091358,0.23873114981445462,1.0,0.6677333333333334,0.08151920473569862,3.0
Cl_Collinder_220,10 25 42.960,-57 55 19.200,Cl_Collinder_220,Collinder_220,,,Collinder_220,,,Collinder_220,,1824.2,293.28557186923916,3.0,371.5352290971728,0.0,2.0,,,,81.16666666666667,5.171145012542266,3.0,8085.0,0.0,1.0,2.233362457028856,0.18517068747846088,1.0,0.7072,0.0,1.0
ESO_141-47,19 18 15.000,-57 54 00.000,ESO_141-47,ESO_141-47,,,ESO_141-47,,,,,2974.0,0.0,2.0,2786.121168629772,0.0,2.0,,,,20.0,0.0,2.0,,,,5.203514225344246,0.0,1.0,0.3328,0.0,1.0
C_1355-576,13 59 06.000,-57 52 30.000,C_1355-576,Loden_1177,,,Loden_1177,,,,Loden_1177,4167.0,0.0,2.0,1496.2356560944359,0.0,2.0,,,,78.5,0.0,2.0,,,,5.388036006384822,0.0,1.0,2.0,0.0,1.0
ESO_131-9,12 29 37.000,-57 51 54.000,ESO_131-9,ESO_131-09,,,ESO_131-09,,,,,2255.0,0.0,2.0,794.3282347242822,0.0,2.0,,,,54.0,0.0,2.0,,,,0.7011827679541893,0.0,1.0,2.3328,0.0,1.0
C_1410-576,14 14 13.000,-57 51 36.000,C_1410-576,Loden_1289,,,Loden_1289,,,,Loden_1289,1753.0,0.0,2.0,398.10717055349687,0.0,2.0,,,,70.33333333333333,8.301048572765215,3.0,,,,4.17019225151702,0.0,1.0,2.7968000000000006,0.0,1.0
NGC_1252,03 10 48.000,-57 45 36.000,NGC_1252,NGC_1252,NGC_1252,,NGC_1252,,NGC_1252,,,792.0,76.0,4.0,2111.3451067789197,858.0828366281388,3.0,,,,70.33333333333333,45.58772576846471,3.0,,,,1.455169747526506,0.15016974752650603,1.0,0.032,0.02262741699796952,2.0
[DBS2003]_40,10 01 19.000,-57 42 18.000,[DBS2003]_40,DBSB_40,,,DBSB_40,,,,,1358.0,0.0,2.0,96.60508789898141,0.0,2.0,,,,5.0,0.0,2.0,,,,0.7565393022663621,0.0,1.0,3.3312,0.0,1.0
[DBS2003]_92,15 03 36.000,-57 40 48.000,[DBS2003]_92,DBSB_92,,,DBSB_92,,,,,1963.0,0.0,2.0,25.118864315095824,0.0,2.0,,,,43.5,0.0,2.0,,,,1.1071306862434567,0.0,1.0,3.3312,0.0,1.0
[KPR2005]_59,10 20 28.000,-57 40 30.000,[KPR2005]_59,ASCC_59,ASCC_59,ASCC_59,ASCC_59,,,,,529.5,10.25,4.0,245.87836779470481,72.06392408354084,4.0,,,,111.14914079012688,15.15392786092936,4.0,,,,,,,0.16000000000000003,0.0,3.0
[KPS2012]_MWSC_2264,15 01 12.000,-57 39 54.000,[KPS2012]_MWSC_2264,FSR_1696,,,FSR_1696,,,,,1148.0,0.0,2.0,407.3802778041122,0.0,2.0,,,,58.0,0.0,2.0,,,,1.568435138844897,0.0,1.0,2.0,0.0,1.0
IC_2581,10 27 28.080,-57 37 33.600,IC_2581,IC_2581,IC_2581,IC_2581,IC_2581,,IC_2581,IC_2581,IC_2581,2294.457142857143,109.63616798048928,7.0,15.104758338291282,2.519476743478686,5.0,-0.34,0.0,1.0,448.23176685334346,310.28627361903295,6.0,8087.8,0.0,1.0,1.5414031237018093,0.1788029733796754,1.0,1.4784,0.08147266753676084,3.0
C_1546-575,15 49 38.400,-57 35 38.400,C_1546-575,Collinder_292,Collinder_292,Collinder_292,Collinder_292,,,Collinder_292,Collinder_292,1401.28,118.05340621938868,5.0,387.0340659061991,109.45180926640712,4.0,,,,201.45787062949418,141.0627834545838,6.0,6947.2,0.0,1.0,2.358372721831965,0.8707584463781168,1.0,0.48000000000000004,0.13063945294843618,3.0
[KPS2012]_MWSC_1953,11 31 40.000,-57 37 24.000,[KPS2012]_MWSC_1953,FSR_1583,,,FSR_1583,,,,,1639.0,0.0,2.0,398.10717055349687,0.0,2.0,,,,33.0,0.0,2.0,,,,1.1993915767637449,0.0,1.0,1.2672,0.0,1.0
NGC_5715,14 43 26.160,-57 34 40.800,NGC_5715,NGC_5715,,,NGC_5715,,,NGC_5715,NGC_5715,1711.3333333333333,180.71790991200336,3.0,933.2543007969924,0.0,2.0,,,,56.75,12.934329321615404,4.0,6907.2,0.0,1.0,1.2013786362795815,0.0204392376198943,1.0,1.4976000000000003,0.0,1.0
[KPS2012]_MWSC_1741,10 00 00.000,-57 33 18.000,[KPS2012]_MWSC_1741,FSR_1524,,,FSR_1524,,,,,2541.0,0.0,2.0,562.3413251903492,0.0,2.0,,,,50.0,0.0,2.0,,,,2.1035483038625675,0.0,1.0,2.7328000000000006,0.0,1.0
